"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Ugdh",0,0.41,0,0,0.37,28.82,0,8.41,17.25,2.37,2.3,76.29,0,25.1,93.55,309.19,1.95,0.46,25.94,11.49,102.54,18.6,87.66,0.63,0,52.92,142.23,52.07,0,30.19,118.05,22.94,18.95,173.14,24.23,97.95,0.24,144.87,16.01,31.9,0,0,0,13.69,84.46,22.24,34.06,0,94.38,127.43,2.77,51.48,25.97,100.43,0,72.96,0,36.11,221.69,2.83,2.91,0,56.31,107.83,91.48,0,0,33.24,3.69,112.78,4.92,5.26,89.79,25.94,0,11.89,128.67,23.45
"Ube2k",71.26,36.29,283.92,8.14,886.91,51.12,0.53,15.23,214.94,2.31,75.98,4.81,0,8.58,53.33,57.22,40.19,50.22,32.29,203.28,117.59,19.89,93.71,25.34,864.17,20.78,10.78,60.92,199.15,134.86,220.36,320.3,127.73,287.91,377.68,16.42,221.76,35.43,227.61,309.25,18.58,222.49,50.03,47.33,26.25,17.9,57.05,15.83,87.35,142.3,52.03,103.81,9.52,115.38,129.19,3.37,32.7,42.78,26.66,107.5,0.1,319.33,273.12,79.28,110.57,128.55,0,52.97,147.14,107.84,83.04,131.67,114.83,310.4,119.18,104.53,77.13,0
"Apbb2",29.02,29.26,253.27,0.8,37.31,0,1.4,37.2,0.46,55.13,0,101.47,0.31,58.4,9.77,83.22,8.67,33.62,32.08,0,11.09,5.59,44.95,18.27,0.52,17.04,22.53,38.87,0,1.28,0,33.3,23.07,17.44,27.09,1.43,4.11,20.49,29.08,2.88,70.34,0.44,0.72,19.22,32.77,46.54,1.06,0.11,0,5.81,68.65,24.38,17.48,0,2.91,54.36,216.57,67.05,242.98,8.11,159.96,0,77.31,2.99,0.99,1.88,0,137.28,21.49,4.16,7.21,1.45,94.15,0.82,9.32,37.45,4.06,35.38
"Guf1",2.47,1.57,0,0,0.38,0,0,0,0.52,13.59,0,0,0.56,0,60.67,86.89,6.42,0,0,91.97,3.57,233.65,1.14,38.53,0,42.37,0,0,0,70.6,10.04,0,27.6,1.78,0.75,105.2,32.67,4.11,21.65,1.85,0,0.45,0,35.77,1.28,13.58,168.19,0.21,1.79,0,7.25,13.15,6.86,0,28.72,0.3,0,45.3,0.28,0,0,0,0,1,19.68,0,109.91,5.38,4.51,0,0,0,0,0,0,76.8,9.53,437.77
"Gnpda2",0,0,288.41,0.63,0,737.36,13.76,0,0,0,0,0,0,52.59,17.22,0,27.7,0,90.88,75.3,6.88,0,5.82,0,0,24.65,0,20.44,3.64,0,18.94,0,3.07,0,0,0,0,112.66,112.86,0,0,0,0,90.67,0,0,43.72,0.59,0.31,142.96,51.78,0,0,0,4.11,5.9,0,0,0,0.36,0,0,0,51.21,60.86,114.83,0,36.61,0,0.42,72.85,0,0,0,0,0,35.83,344.86
"Commd8",24.72,124.3,0,176.49,14.47,0.34,82.83,36.23,1.12,2.22,38.33,6.3,0,58.08,7.03,0.86,27.08,0,31.27,120.67,52.02,0,55.59,0,243.12,0.72,127.25,40.37,0,0.52,35.75,0.58,11.89,0,21.83,29.57,0.15,71.99,0.76,5.22,4.99,0.32,22.03,79.93,19.21,18.96,11.54,166.24,38.55,11.05,60.93,59.24,85.74,30.02,19.04,0.17,0,69.43,25.09,20.05,0,131.79,18.58,22.18,75.89,11.98,0.26,87.2,30.88,29.03,14.8,95.61,19.87,138.71,108.76,7.62,109.77,15.77
"Tec",0,33.22,0,159.53,68.35,0,0,51.95,35.18,0,0,0,0,0,16.7,0,0.52,0,2.6,0,110.06,0,75.98,0,0,0,1.79,4.55,0,0,0,0,16.01,0,51.21,0,74.53,0,0,0,0,0,0,44,0,0,0,0,0,0,2.28,0,0,0,0,0.42,0,0,0,0,0,0,5.68,0,0,0,0,0,0,0,9.92,0,6.07,0,12.13,24.36,22.48,0
"Slc30a9",0.47,30.42,253.97,0,8.9,0,0,0,0,0.14,60.96,0,0,66.23,93.16,0.33,16.58,0,37.83,0,0,0,14.36,10.29,0.14,0,3.48,15.62,0,46.46,204.7,22.81,4.41,0.42,10.73,0.36,0.1,19.83,5.39,0.15,1.3,0,9.37,0.27,0.15,0.61,0,0,0.95,0.8,1.41,0.09,1.18,0,0.07,63.22,16.49,0,0,52.82,0,32.42,5.12,1.1,51.11,31.77,542.15,10.39,45.09,81.73,39.81,0.45,22.91,0.99,0,279.14,14.3,0.16
"Uchl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.36,18.95,0,8.35,0,0,2.18,0,299.85,16.19,33.09,0,31.49,0,34.43,0,33.43,172.42,0,157.7,0,383.56,0,33.68,0,278.83,0,0,16.02,241.02,46.61,0,20.98,0,129.37,23.62,26.95,19.73,100.95,99.47,0,66.33,0,233.67,143.74,0,0,54.9,6.45,0,4.55,0,4.83,0,0,98.99,287.59,18.63,0,0,0,21.42,0
"Chic2",25.28,0.48,45.69,1.53,0.11,0,4.53,3.33,0.14,0.81,0.48,0.25,0.41,0.41,0.75,0,0.1,0.5,0.17,0.19,1.97,1.08,60.1,1.96,0.18,0.89,0.11,0.18,0.76,3.81,4.53,0.87,2.08,0.71,1.63,47.52,0.38,1.44,1,1.73,0.41,4.42,0.88,2.25,1.89,3.68,0.52,3.95,3.3,41.77,1.12,0.63,5.29,1.13,0.53,17.19,0.98,1.71,0.21,1.14,0.28,1.44,55.44,5.17,1.13,0.54,4.16,0.6,0.64,0.31,14.56,1.4,1.25,1.68,3.99,1.25,15.22,0.91
