"","osk_d7-b_c11","osk_d7-b_c13","osk_d7-b_c17","osk_d7-b_c22","osk_d7-b_c23","osk_d7-b_c24","osk_d7-b_c30","osk_d7-b_c31","osk_d7-b_c37","osk_d7-b_c38","osk_d7-b_c39","osk_d7-b_c40","osk_d7-b_c41","osk_d7-b_c45","osk_d7-b_c48","osk_d7-b_c57","osk_d7-b_c62","osk_d7-b_c64","osk_d7-b_c67","osk_d7-b_c72","osk_d7-b_c74","osk_d7-b_c75","osk_d7-b_c82","osk_d7-b_c84","osk_d7-b_c86","osk_d7-b_c89","osk_d7-b_c92","osk_d7-b_c93","osk_d7-b_c94","osk_d7-b_c95","osk_d7-b_c96","osk_d7_c01","osk_d7_c04","osk_d7_c05","osk_d7_c07","osk_d7_c09","osk_d7_c11","osk_d7_c15","osk_d7_c26","osk_d7_c29","osk_d7_c30","osk_d7_c31","osk_d7_c33","osk_d7_c36","osk_d7_c39","osk_d7_c41","osk_d7_c44","osk_d7_c45","osk_d7_c49","osk_d7_c51","osk_d7_c53","osk_d7_c56","osk_d7_c57","osk_d7_c58","osk_d7_c60","osk_d7_c61","osk_d7_c62","osk_d7_c63","osk_d7_c64","osk_d7_c65","osk_d7_c66","osk_d7_c68","osk_d7_c71","osk_d7_c72","osk_d7_c73","osk_d7_c74","osk_d7_c75","osk_d7_c76","osk_d7_c77","osk_d7_c78","osk_d7_c80","osk_d7_c81","osk_d7_c82","osk_d7_c83","osk_d7_c85","osk_d7_c86","osk_d7_c91","osk_d7_c93"
"Ahi1",95.41,0,22.67,0,0,0,0,0,0,0,0,0.87,0,0,0,0,5.31,0,0,0,0,0,0.19,0,0,3.47,0,0.3,0,1.05,0,0,0.67,0,0,0.42,0,0,0,0,0,0,0.17,0,0,44.45,0,0,4.25,6.3,0,0,47.44,2.46,0,10.16,0,6.16,0,0,487.23,0,7.87,2.78,66.16,1.05,0,0,113.33,0,0,112.78,0,113.28,0,0,18.25,33.53
"Enpp3",0,0,762.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.39,0,0,0,7.94,5.25,0,0,0,91.15,0,1.03,0,0,16,2.15,0.25,0,27.99,0,514.52,282.02,0.23,444.59,15.89,3.24,2.65,0,0,0,0,6.13,81.79,1.62,0,153.74,0,0,3.02,0,127.74,0,0,1.96,0,0,0.23,144.55,4.02,186.49,8.47,0,22.38,0.34
"Map7",0,0,0,15.41,12.39,0,15.69,34.51,0,0.18,5.84,0,0,4.79,0,0,0,0,0,0,0.18,0,0.48,0,0,0,0,5.5,22.82,6.9,0,0,0,0,0,21.81,3.8,0,0,0.57,0,0,0,0,32.53,0,0.16,0,0,0.74,0.39,7.86,59.05,0,0,0,0,15.3,0,0,0,0,0,8.86,0.51,0,0,0,0.54,0,0.16,0,0,123.64,0,0,47.33,0
"Ctgf",260.43,0,0,1.41,118.3,0.53,8.68,0,364.1,74.29,0.34,5.89,0,19.82,112.84,0,445.08,750.92,0.49,0,0,1.92,6.09,0,206.91,31.55,512.24,1.8,0,70.62,23.84,0,69.92,0,0,0,35.87,0,0,0.64,630.55,0,0,6.89,0,0,6.72,0,36.09,0,0,30.68,0.27,0,0,0,0,0,0,0,0,125.79,0,55.27,0,42.79,0,0,34.63,4.12,0,0,0,463.47,0,0,30.88,1.61
"Stx7",15.77,82.31,200.13,28.79,624.87,72.73,0,227.69,40.44,29.76,62.56,105.86,23.85,191.32,7.91,247.92,80.8,37.87,0,31.42,4.95,47.72,0.39,404.87,15.46,99.96,1.27,34.16,0.43,4.26,99.62,0,66.84,0,18.91,0,0,0,57.67,0,204.84,0.28,0,236.63,95.35,69.67,5.92,0,4.37,34.57,139.9,0,34.93,187.74,39.65,163.63,62.51,94.08,179.33,0,0,0,0,69.02,184.32,0.53,0,14.44,2.68,86.7,112.41,31.28,176.69,126.22,0,95.51,232.34,0
"Pex7",0,0,0,0,1.35,0,0,0,0,0,0,0,0,11.31,18.45,0.58,0,0,0,0.52,0,0,0.56,80.32,0,1.44,0,45.7,0,0,75.83,0,1.63,0.73,0,0,0,0,10.64,0,72.24,0,0,25.56,119.98,4.06,126.13,1.43,0,0.91,0,1.09,2.99,28.65,0,0.31,0,1.31,0,6.24,0.85,0,2.44,0.4,5.78,0,0,40.93,0,0,0,0,1.05,9.28,0,0.4,17.01,13.1
"Ifngr1",1.38,0.84,2.24,55.73,10.26,573.82,54.55,1.79,0,5.86,62.15,5.51,17.33,31.14,3.01,0,1.62,0,10.7,5.83,3.3,0,1.87,120.42,0,20.37,0,3.85,2.59,0,124.6,0,9.82,0,0.38,0,0.49,0,0,1.51,4.16,0,16.65,12.66,0,7.25,2.16,0.68,1.14,3.19,0.77,1.73,0.63,39.42,11.81,11.24,0,0,0.47,0,2.15,0,4.12,1.55,0,1.9,0,22.68,0,123.76,10.24,0,1.37,5.88,48.41,25.26,19.72,11.59
"Cdk17",0,0,14.69,0.3,0,144.18,46.73,0,0.26,0,0,0,0,0.4,1.11,1.07,12.4,0,0.62,66.41,0,0,0,0.72,0,22.43,81.11,14.25,10.33,1.14,0.26,2.99,0,0.79,0.32,0,0,1.95,0,3.88,0,0,0,7.95,2.14,3.63,2.94,0,0,0,0,0,1.23,0,0.23,0,0,5.29,0,5.71,5.86,0,0,0,14.87,0,1.34,0,0.2,0,1.89,6.19,0.77,0,11.41,0.19,0,0
"Fgd6",0,0,6.29,34.33,1.85,0,14.95,12.32,0,0,0,0,0,0.43,0.12,0,0.08,0,0,31.09,0,1.62,11.55,0,0,0,0,1.29,0,0,0,0,3.87,0,0,9.18,0,0,0,0,0,0,0,2.53,0,1.77,29.4,0,0,0,0,0,5.59,0,0,0.77,0,0,0,0,0,0,0,12.24,0,0,0,8.86,0,0,0,0,0.17,0,30.53,0.08,1.82,0.23
"Tmcc3",0,0,0,165.14,0.3,0,0,0,0,0,0,0,0,40.67,4.66,0,0.41,0,23.49,7.55,0.25,0,85.56,0,0,0,0,4.02,0.33,0,0,2.17,0,0,0,0,0,0,0,0.66,16.31,0,0,11.35,4.13,0,0,0,0,1.68,0,0,0,0,0.37,0.17,0,0,0,0,0,0,0.45,0,0,0,0,0,0,0,16.37,0,0,0,0,0,0,0
"Socs2",0,0,1.04,416.59,0,0,0.99,15.09,0,0,329.59,0,5.13,0,1.3,54.67,129.61,0,0,174.61,1.51,0,25.74,299.39,275.64,0,0,0,0,78.93,117.34,0.95,316.01,91.12,8.39,0,1.33,134.29,94.23,209.27,0,0,72.41,0,187.49,24.77,8.97,626.73,3.95,40.82,67.86,76.07,409.93,0.24,201.49,0,15.1,351.87,0,3.16,2.08,0,2.49,7.96,0,25.43,1.78,3.41,28.06,12.24,2.82,14.71,164.11,11.51,1,1.49,128.19,512.42
"Tcp11l2",1.6,0,0,1.64,0.58,0,4220.53,133.85,0,152.68,0,0,0,0,0,0,0,0,5.54,0,0,0,0,0,0,101.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,6.96,0,0,85.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0,0,0,0,0,0,0,0,0,0.47,0,0
"Cry1",0,0.57,0,35.31,0,0,0,1.22,0,0,0,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.14,0,0,0,0,2.75,0,0,0,0,0,0,0.58,0,0,0,4.67,0,0,0,0,35.11,10.72,0,0,0,0,0,0,0,3.94,16.7,0,0,85.27,0,1.22,0,0,3.66,10.76,4.35,14.19,0,7.15,0
"Timp3",25.72,0,0.19,0,4.68,1.03,0.15,0.19,0,168.08,522.37,192.99,101.35,64.86,208.98,813.93,141.99,318.14,858.9,159.51,1733.92,190.42,82.43,1144.68,100.26,1740.07,147.62,314.25,0,449.94,0,25.53,201.97,0.8,0,0,463.07,0,0,0.38,97.9,90.62,0,0.17,1.27,111.79,47.48,0,0,69.22,5.07,1.09,0.13,0,0,29.35,45.17,0.19,0,0,0,0,0,0,48.67,2.3,0,0.43,0,3.1,104.09,0,0,0,0,85.17,0.24,49.95
"Herc4",0,0,0,0.27,0,0,0,0,1.17,0,0,0,5.69,18.37,42.02,9.44,8.91,0,23.34,0,0,0,0,0,0,16.89,0,51.24,0,0,12.54,0.86,24.75,146.25,33.27,0.1,40.69,26.84,0,153.31,19.53,0,0,1.2,0.21,2.31,11.59,0,0,5.07,8.04,35.66,1.27,100.73,0.31,2.89,0,2.07,0,26.26,0,0,2.91,27.95,33.7,53.08,0,0.72,1.8,9.53,8.07,0,0.35,0,3.11,7.83,4.81,3.07
"Hnrnph3",26.53,86.15,62.87,0.53,112.77,0,0,0,0,16.39,0,51.54,115.01,17.04,4.28,0,2.79,46.77,2.42,0,0,4.64,30.56,0,603.89,49.86,0,4.83,23.17,1,48.11,25.07,69.51,5.66,0,8.96,0,43.18,0,32.34,121.93,31.22,69.96,106.35,109.55,10.65,43.58,0,41.4,0,38.27,4.33,593.6,0,0,0,29.68,0,0,0,4,218.57,24.04,0,15.66,29.26,374.76,57.19,0,7.64,13.86,76.03,0,11.69,0,24.24,58.32,14.77
"Rufy2",24.84,4.06,16.35,2.67,0,1.41,0,0,0,15.37,1.14,51.64,0,15.76,30.77,0,9.78,3.04,10.38,0,1.02,21.5,0,0,530.79,7.91,118.55,24.68,0,2.39,9.02,0,10.9,0,0,0,21.44,16.18,0.48,10.76,118.29,0,0,28.05,70.72,0.19,103.52,0,3.87,0.18,0.5,12.88,60.41,0,14.77,83.77,9.38,0,0,0,0,18.49,0,0,0,0,2.34,0,0,4.56,28.11,0,0.34,0,0.19,7.47,1.96,62.25
"Ccar1",3.08,15.1,157.85,32.67,0.17,0,83.03,67.78,56.08,37.75,84.08,4.71,132.32,12.73,9.15,12.96,73.56,12.7,7.53,2.55,73.3,0,5.62,1.44,0.9,74.02,1.7,5.67,0,31.17,93.65,109.79,66.91,66.9,40.54,177.16,34.48,117.07,40.67,106.16,190.04,4.37,64.79,34.16,65.64,95.12,59.81,66.61,74.42,60.14,26.07,54.29,155.86,26.35,33.75,7.05,35.23,40.36,9.67,123.39,11.69,27.88,65.21,54.09,185.12,76.42,121.51,4.95,64.54,85.44,38.66,15.93,21.48,20.81,0.35,76.07,10.95,37.78
"Ddx50",59.51,0,0,3.56,5.31,487.61,0,0.74,0.77,0,79.76,0.35,0,56.67,97.91,4.77,72.4,14.5,38.83,0,5.47,0,18.79,3.71,0,84.89,0,27.44,2.55,139.11,0,28.62,3.78,100.98,0,181.67,55.35,11.75,0,18.07,51.05,0,0,71.35,0.7,0,8.65,0,67.81,0,13.57,7.39,56.6,24.06,91.34,13.34,120.37,1.3,3.47,15.99,0,102.06,1.36,3.08,7.76,4.44,87.43,2.2,39.8,150.74,89.81,10.9,0,21,0,1.39,22.33,9.51
"Srgn",3558.14,462.34,4822.91,1680.73,6231.33,66.29,1.38,1521.13,9486.64,447.33,3689.69,7592.94,3015.27,9639.99,7082.23,9030.17,4590.73,21130.07,18503.57,4778.37,1396.8,1411.79,396.16,234.42,422.18,18147.85,2858.9,930.91,3331.65,217.48,114.19,0,6622.71,541.55,188.85,1979.5,6253.72,1042.31,147.34,371.68,2314.93,747.62,1279.53,203.74,1068.72,1602.56,613.6,1174.65,152.64,2670.3,621.6,179.31,377.09,1634.6,1819.19,1964.16,164.35,259.39,314.32,2173.63,425.36,3636.21,370.67,3504.16,3200.21,1214.11,1.45,1039.4,880.9,605.45,989.03,14.55,8488.06,4033.84,49.45,9730.15,1084.09,2.31
"Vps26a",56.58,6.48,169.23,0,169.31,0.4,148.57,50.17,100.35,47.38,179.63,343.07,0,23.37,102.36,14.7,165.51,64.94,270.69,3.27,103.18,6.34,44.08,0.44,0,256.34,0.51,216.18,208.47,16.21,2.19,1.62,182.1,37.95,46.82,368.13,0,114.82,122.75,0.5,66.68,8.62,222.05,141.88,0,118.73,0,129.45,47,68.72,6.46,103.66,0,7.55,160.72,151.2,209.94,7.72,138.75,1.6,245.93,294.3,90.03,52.56,43.83,161.7,676.8,83.88,238.55,210.45,86.89,88.02,13.49,217.07,24.03,39.37,97.8,0
"Supv3l1",0,0,0,0,0,0,285.22,0,0,0,28.52,0,0,0,0,0,0,0,0,2.73,5.57,0,0,0,0,0,0,0,0,0,118.07,1.05,2.03,27.02,0,0,31.65,0,0,0,0,0,0,0,0.22,0,0.25,0,109.13,27.1,1.01,1.36,0,0,0,0,0,0.25,1.36,0,0,0,68.41,3.8,4.28,0,0,4.37,16.27,0,5.4,0,4.11,8.38,0,0,1.2,2.51
"2010107G23Rik",0,0,0,0,0,0,0,0,206.7,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01,0,0,0,0,0,49.73,0,6.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,2.46,0,0,0,0,5.72,0,0,0,0,0,0,0,0,0,0.86,41.23,0,28.87,0,0,61.36,9.57,0,0,0,0,0,0,0,0
"Aifm2",0,0,0.76,3.66,0,0,0,0,0,7.46,77.17,7.21,0,0,0,0,12.98,0,72.36,0,15.97,1.87,0,139.92,0,2.06,0,3.13,0,1.74,0,0,0,12.4,0,228.61,274.07,0,0,0,0,0,12.37,32.85,0,20.76,0.51,0,15.9,0,33.33,0,0,0,0,0,0,0,0,0,0,0,59.44,18.02,40.07,0,0,0,21.53,7.24,8.49,0,0,0,0,150.45,26.24,0
"H2afy2",0,0,33.86,0,37.14,0,0,0,0,0.33,4.58,0,0,0,3.4,0,0.31,0,0,0,0,0,0,0,0,0,1.48,0.36,0,15.9,0,10.35,21.88,0.23,0,0,0,0,11.78,0,0,0,0,1.15,0.41,2.33,5.97,0,7.96,0.95,0,0,0,0,0,0,0,0,0,0,29.43,4.74,0,0.99,0,36.5,1.15,0,0,0,0,0,0,0,0,0,7.76,0.45
"Eif4ebp2",0,0,1.4,74.99,0,0,0,0,0,0,0,0,0,29.41,1.21,0,0,0,0.88,0,0,0,5.13,0,0,0,0,0,0,2.47,8.43,2.34,9.67,14.79,0,0,0,0,0,40.83,15,0,0,76.65,0,11.71,34.03,0,92.56,0,56.03,1.03,0,0,20.44,0,96.38,0.99,0.85,6.32,0,0,0.49,47.65,22.29,0,0,3.23,0,27.15,6.67,1.29,149.26,31.51,0,0,0,0
"Pald1",0,3.72,15.14,0,0,0,0,0,0,0,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,3.68,16.95,0,8,0,0,13.9,2.17,13.16,0,0,0,18.68,0,0,0,0,0.38,0,0,0.9,0,0,0,0,0.12,0.1,0,0,0,0,0,9.85,0.11,9.03,22.19,0,0,13.03,0,0,0,0,0,0.17,0,0,0,0,17.14,0,10.04,0
"Sgpl1",4.6,3.89,21.35,330.38,108.47,0,0.18,3,3.57,7.1,2.89,0,25.28,11.52,120.69,9.42,16.49,0,0.83,235.02,23.33,86.26,9.66,0.32,64.33,25.01,0.96,43.22,0,23.31,2.98,63.94,45.91,2.51,46.1,6.06,182.97,194.22,32.49,80.54,43.4,44.84,20.99,46.65,19.57,101.01,109.32,31.28,8.52,84.09,12.41,207.17,32.18,133.48,19.08,3.44,2.86,37.85,5.14,13.11,21.81,11.95,3.44,49.71,25.49,131.25,19.84,49.91,51.53,41.06,29.94,116.16,8.36,8.87,7.11,13.54,50.07,101.96
"Pcbd1",0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,51.11,0,0,0,125,2.75,105.42,205.01,0,0,0,0,0,8.48,0,0,228.79,0,7.01,0,0,0,0,0,0,0,0,0,0,23.09,0,0,0,0,0,0,0,87.11,0,0,0,0,0,6.84,7.94,0,0,0,24.92,0,0,0,0,0,0,0,0,0,0,0,0,0,5.66,0
"Slc29a3",0,0,0.17,0,0,0,0,31.57,2.29,0,6.61,0,0,107.69,3.03,0,0.12,0,29.41,0,0.49,111.96,0,0,0,0.23,0,16.77,0,0,0,0,0.25,0,0,0,0,9.46,0.6,0,0.34,0,138.91,0,0.16,3.95,0.59,0,5.05,0,0.59,0,0.12,0.28,0.32,5.09,0,21.12,0.09,0.55,1.28,0,0.32,0.52,0,0,3.12,0.13,0.86,2.64,0,0.73,0.13,1.39,0,0,15.39,20.05
"Anapc16",7.03,8.43,19.86,6.04,82.7,8.85,4.41,6.08,252.4,283.32,28.2,88.13,1.13,10.34,101.77,234.04,29.79,20.31,17.07,3.03,3.61,386.3,36.67,6.25,1.77,51.96,0.96,117.3,240.68,39.81,97.66,114.57,44.77,22.89,1.42,17.42,24.14,15.03,43.83,46.57,72,19.24,44.75,129.9,140.63,145.58,475.5,76.86,3.34,309.86,101.29,6.1,838.32,3.91,298.41,14.7,42.09,142.87,237.99,97.43,2.13,77.27,226.27,94.93,0.94,117.75,1008.83,230.62,83.28,163.41,113.64,133.08,138.8,70.68,23.1,18.75,132.08,239.96
"Dnajb12",8.12,12.92,109.45,92.17,37.03,0,195.56,29.51,0,23.14,85.59,11.66,0,11.29,37.34,0.33,45.32,0,26.1,0,22.4,1.86,27.61,150.5,0,45.49,0,55.32,18.79,31.07,38.8,14.62,16.82,20.11,99.84,36.56,24.84,3.82,38.39,9.15,23.87,30.96,23.07,37.87,27.82,64.89,22.78,26.1,26.88,41.89,4.35,30.64,0,7.19,0.3,19.04,6.19,29.27,17.38,22.5,13.07,0,21.45,55.82,14.71,12.21,27.71,32.67,17.41,85.11,15.08,20.78,20.86,94.62,34.36,27.6,13.95,79.44
"Micu1",29.4,0,61.22,140.08,64.13,0,61.19,298.47,77.41,142.25,197.29,83.79,7.14,265.34,121.2,75.03,43.19,51.37,102.96,323.37,205.81,359.19,2.73,6.02,2.02,7.44,0,2.29,297.1,0,5.18,9.63,112.97,0,2.35,2.46,23.36,22.39,72.58,63.07,0,354.35,56.83,8.5,3.75,103.27,24.99,268.7,0,10.55,175.15,17.04,198.43,23.54,2.55,270.51,0.21,30.67,2.2,0,0,119.59,10.16,9,103.47,0.29,0,107.89,171.36,47.77,123.15,6.52,269.87,326.57,47.98,0,133.91,1.39
"Cand1",0,86.03,0,0,11.23,5.11,0,63.65,0,1.56,3.53,0,10.73,9.7,25.84,2.61,24.19,67.92,15.31,0,23.35,21.51,10.69,273.13,0,17.29,5.56,1.41,1.56,0,6.2,32.67,53.45,25.26,0,14.78,23.63,31.46,88.22,78.34,0,0,0,11.39,0,18.25,8.94,136.32,3.1,4.56,8.27,61.18,1.77,190.38,43.07,1,29.3,155.27,0.42,222.18,31.44,0.63,101.1,23.48,0.08,66.6,3.36,86.23,4.47,170.12,39.18,49.9,2.12,0,9.86,0,71.18,12.68
"Tbk1",167.88,143.52,0.61,0,121.59,0,0,0,69.74,129.6,0,115.88,478.04,37.11,80.74,1.31,57.5,0,77.45,0,82.35,24.62,0,0,61.61,2.45,0.77,60.23,272.38,0,0.31,6.76,0.67,28.99,2.82,68.08,111.75,0.55,129.71,78.42,0,46.49,0,33.79,82.04,23.07,0,0,46.38,0.5,20.61,22.62,46.62,0.34,9.68,94.72,0.46,77.39,0,0,0,0,48.93,50.71,67.84,112.89,6.48,0,77.66,66.86,32.38,0.97,46.28,29.96,0,0,9.61,0
"Srgap1",0,0,0,39.56,0,0,0,58.34,2.96,0,0,0,0,13.33,0,0,1.06,0,0,0,10.51,0,0,9.52,0,3.82,0,0.08,0,0,0,0,10.61,0.06,0,33.05,0.06,0,0,0,0,3.01,0,8.78,0,0,0,0,0,0,30.77,0.05,13.98,9.06,3.45,14.66,0.57,0,0,0,0.13,0,0,0,1,0.33,0,0,0,45.43,0,10.2,0,0.13,126.66,1.65,6.84,0
"Egfr",0,0,0,38.66,0,0,8.8,43.36,0.33,0,0,0.08,146.52,0,2,0,0,0,0,0,75.17,0,0.71,0,0,3.37,30.12,2.24,0,0,7.96,0,0.06,0,0,0.08,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0,0.04,0.7,0,0,0,13.37,0.17,0,0.08,0,0.25,0.43,0.15,0,0.07,0,0.43,0,0,0.1,0.61,0,0.12,0.09
"Usp15",0.87,13.45,0,5.13,0,0,99.99,21.76,36.88,0,106.22,0,0,12.16,23.69,278.32,100.38,0,54.67,0.28,83.44,0,0.29,41.93,23.45,9.91,0,20.14,0,0,28.72,33.48,23.9,32.81,0,24.54,0,118.7,46.66,43.43,163.9,0,62.82,21.08,67.36,48.29,33.56,20.01,18.95,15.72,12.58,175.43,234.93,0,81.22,0.5,72.75,114.12,0,2.66,0,13.61,0,2.59,120.36,44.48,21.73,0,50.63,19.16,82.67,19.97,21.98,4.67,22.5,0,14.47,58.47
"Vps54",106.34,31.13,6.73,270.54,93.92,0.34,0,0.21,83.45,22.73,3.97,5.06,0,140.19,34.11,0.23,0,167.59,105.39,230.81,6.13,0,16.99,0,0,2.04,0,27.83,0,80.48,108.54,12.58,0.31,0,0,0,11.23,0,26.57,2.91,12.56,0.94,1.53,0,44.56,39.84,1.93,0.57,73.74,23.66,5.29,21.1,159.54,0.12,0.1,0,0,175.52,0,0.61,0,0.72,6.66,18.22,27.3,29.85,0,1.26,122.6,1.57,0.15,29.91,94.93,0,5.44,26.34,92.71,35.2
"Rab21",51.23,19.22,2.64,210.92,0.89,0,75.6,32.7,23.75,0,9.67,43.97,0,9.72,1.18,25.14,8.41,2.02,0.66,0,0,0,1.1,23.51,0,65.68,0,11.87,0,0,0,0,104.32,0,60.21,32.97,0,0.63,1.5,45.07,0.41,31.43,0,47.47,10.93,0.45,0,16.63,37.85,21.09,4.85,12.8,2.96,12.25,2.92,0,0.4,0,0,18.24,1.13,0,0,0,6.11,6.32,0,0.78,6.74,21.83,0.72,12.19,53.07,0.57,0,1.98,3.99,0
"2310011J03Rik",0.91,0,0,0,0,3.24,0,75.03,0,88.89,0,36.97,41.63,0,3.98,0,0,2.26,0,0,1.85,0,40.19,0,42.91,0,7.07,0,15.07,0,0,0,1.72,15.87,25.58,20.01,0,0,6.71,49.41,0.46,0,1.07,4.68,4.44,10.5,0,0,0,0,0,14.31,0,0.98,1.09,33.34,0,8.75,0,0,0,0,23.23,0,47.87,0,0,0,0,48.82,8.91,83.69,0,0,0,0,0.41,0
"Peli1",0,1.44,80.5,35.92,15.78,0,8.67,0,1.53,1.59,54.78,0,40.68,1.23,12.11,1.39,0,0,4.21,0,28.91,0,8.87,0.74,0,0.7,0,9.19,0,0,22.48,9.87,15.77,7.67,0.33,45.72,166.27,0,46.39,0,36.95,0,5.18,1.38,1.23,16.42,49.18,39.92,28.42,15.42,0.15,13.44,29.08,10.47,2.28,0,17.5,24.38,126.91,1.37,0,18.66,7.9,36.68,12.62,15.82,0,0,144.63,9.74,11.25,91.25,0.19,0,23.25,27.62,4.29,14.24
"Slc1a4",0,0,0,0,0,2.54,197.64,9.78,0,29.86,2.84,181.12,0,0,0,41.18,0,38.71,0,0,12.41,0,57.49,0,0,0,0,0.61,2.69,267.06,0,67.21,47.72,0,22.48,0,0,0,3.32,15.91,0,392.59,0,40.36,0,41.5,0,0,0,0,1.48,1.1,3.14,3.06,0,0,0.44,0,0,0.41,0,0,0,47.7,36.4,0,0.84,0,19.84,43,8.39,0,0,0,0,0,1.94,0
"Rab1",193.85,107.07,361.64,458.99,72.94,328.21,191.3,293.81,27.14,4.75,535.49,277.35,49.65,357.8,623.26,666.06,480.13,334.75,262.44,601.79,172.8,403.4,752.92,1577.43,395.35,131.37,798.14,228,402.56,1.96,274.15,317.13,226.78,165.38,94.06,545.58,121.95,184.39,275.88,23.69,452.97,262.56,302.72,195.73,532.42,184.94,168.08,511.67,248.09,316.11,240.75,296.14,209.43,491,179.58,240.91,91.32,77.45,542.98,564.96,77.1,599.82,487.83,242.43,352.37,397.08,156.47,177.01,422.58,137.35,352.74,526.52,375.64,396.26,525.56,174.46,212.01,53.32
"Gamt",0,0,0,0,0,0,0,1.1,0,53.22,0,0,0,0,0,0,0,0,0,5.39,0,0,24.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,18.92,0,0,0,0,21.33,0,0.62,0,0,0,0,0,0,0,0,0,0,0,45.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ndufs7",288.89,252.33,197.22,7.39,128.01,99.96,0,1.5,0,1137.7,125.52,697.68,376.11,184.18,212.09,301.41,186.68,211.63,227.73,325.78,199.69,213.77,133.32,50.48,481.72,114.33,12.03,473.31,114.34,105.75,331.86,274.37,18.3,251.24,230.87,182.86,531.72,35.59,268.28,2.79,510.51,0,337.58,364.11,369.48,28.13,137.74,227.17,186.82,334.23,738.83,258.96,105.19,534.43,199.85,99.21,184.2,421.5,711.3,177.01,372.07,543.26,101.48,175.95,448.84,361.12,340.09,153.98,684.08,270.27,248.42,232.04,56.21,103.93,221.41,444.89,138.56,114.03
"Meis1",78.82,0,8.9,9.76,0.3,0,201.96,236.86,0,2.19,19.14,0,0,1.52,7.37,93.5,0,5.9,2.38,141.33,145.22,10.34,33.62,0,0,25.73,0,81.59,0,0,100.75,20.47,18.3,0,0,0,0.89,0,0,0,0,0,43.04,21.19,12.93,0,6.19,0.11,35.85,0,4.98,0.08,437.88,2.6,0,41.52,4.78,5.02,0,0,0,0,155.03,0,0.69,0,34.02,28.19,0,52.65,16.66,0,0,0,1.98,79.49,0.46,240.23
"Cnot2",33.52,40.04,184.33,226.14,6.42,27.41,106.4,95.61,219.12,89.73,54.72,211.63,434.48,35.87,104.49,23.76,14.76,60.06,8.37,0,2.22,1.02,8.2,0,0,17.61,9.76,0,15.24,10.23,160.45,71.28,114.55,135.86,143.94,12.48,0,91.41,3.33,258.7,0,0,374.56,2.79,136.63,27.06,5.39,9.87,0.18,231.57,189.73,43.33,271.16,262.74,0,0.83,0,121.86,0,58.69,22.12,0,161.85,224.28,7.47,0,0,0.31,141.68,102.32,65.65,74.41,23.37,0,409.3,19.28,79.09,253.77
"Tcf3",114.37,0,2.45,6.9,1.06,0,0,0.63,0.65,0.24,0,1.77,0,0.5,0.35,0,0,0,0,0,0,0,0.65,0,0,0,0,0.83,9.72,0,0,27.87,6.64,0.99,0.97,72.89,0.17,27.76,24.61,4.35,0.24,0,8.79,16.06,1.2,7.38,3.46,1.45,11.46,2.74,9.9,19.42,9.92,29.51,16.93,5.84,0.47,2.21,8.92,0,2.67,12.2,1.73,1.66,3.63,0,1.39,16.08,17.99,5.13,5.92,1.51,11.26,17.84,0,0.29,7.11,2.59
"Frs2",0.12,0.44,0,19.46,0,0,0.25,0,0,0,2.44,0.74,0,2.98,26.81,0,1.24,0,1.57,0,0,0,19.95,41.39,0,0.42,0,22.3,0,2.5,7.27,22.24,2.65,0,0,1.48,38.48,0,3.06,0.9,0,0,0,0.14,0.15,15.63,35.11,0,0,3.1,0,7.67,24.4,0,0,0,0,0.67,0,0,0,0,48.8,0.12,0,0,0,1.64,0,0,0.76,0,0,0,4.89,0.24,9.1,1.63
"Yeats4",0,0,18.47,0,0,0,0,0,0,19.74,1.24,0,0,7.99,14.35,1.54,0,0,0,0.7,2.22,0,137.6,5.09,0,26.97,0,93.19,0,0,49.49,56.08,0.51,19,0,44.41,1.15,70.02,0,0,11.45,0,22.38,23.68,10.6,0,0,0,47.48,0,69.34,72.47,0,0,183.22,0,0,24.46,0,86.21,1.89,0.96,9.04,0,1.02,8.94,0,0,1.69,37.82,0.97,16.88,0,0,0,3.69,0,0
"Cobl",36.72,0,0,209.46,96.86,0,0,88.75,130.44,0,26.32,4.59,0,213.05,19.79,1.32,10.65,159.01,0,0.36,7.53,319.73,0,44.86,0,0,8.67,6.22,10.05,5.8,0,0,16.16,31.93,0,604.47,115.79,0.22,18.84,11.26,218.23,89.12,0,34.93,108.43,70.52,1.25,0.14,2.09,34.87,0,38.8,0,4.81,0,189.35,78.8,17.31,165.76,4.04,0.19,0.41,0,7.43,18.74,6.44,0,42.95,0,0,22.59,110.41,1.31,0,3.52,76.6,71.51,98.47
